City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
92,Baykit,RU,61.67,96.37,28.26,91,100,3.53,overcast clouds,2021-04-11 03:11:59
93,Ternate,ID,0.8,127.4,83.88,70,100,5.44,overcast clouds,2021-04-11 03:11:59
94,Chuy,UY,-33.6971,-53.4616,69.12,97,100,8.61,moderate rain,2021-04-11 03:12:00
95,Sovetskiy,RU,61.3614,63.5842,35.24,99,100,4.79,moderate rain,2021-04-11 03:12:00
96,Kayerkan,RU,69.3497,87.7602,24.03,97,74,6.82,broken clouds,2021-04-11 03:12:00
97,Great Yarmouth,GB,52.6083,1.7305,37.99,75,40,5.75,scattered clouds,2021-04-11 03:12:01
98,Chokurdakh,RU,70.6333,147.9167,-7.96,91,20,0.63,few clouds,2021-04-11 03:12:01
99,Aguimes,ES,27.9054,-15.4461,64.99,77,20,11.5,few clouds,2021-04-11 03:12:01
100,Russkaya Polyana,UA,49.417,31.9201,38.26,55,0,0.78,clear sky,2021-04-11 03:12:02
101,Yarada,IN,17.65,83.2667,84.2,74,20,5.75,haze,2021-04-11 03:12:02
102,Severodvinsk,RU,64.5635,39.8302,35.6,80,75,8.95,broken clouds,2021-04-11 03:12:03
103,Yatou,CN,37.15,122.3833,58.1,53,40,14.83,light rain,2021-04-11 03:07:05
104,Cayenne,GF,4.9333,-52.3333,75.2,100,75,5.37,mist,2021-04-11 03:12:03
105,Atar,MR,20.5169,-13.0499,76.37,24,62,11.48,broken clouds,2021-04-11 03:09:46
106,Benghazi,LY,32.1167,20.0667,56.61,51,71,12.75,broken clouds,2021-04-11 03:12:04
107,Tabou,CI,4.423,-7.3528,79.2,85,54,6.71,broken clouds,2021-04-11 03:12:04
108,Kruisfontein,ZA,-34.0033,24.7314,59.14,76,82,4.07,broken clouds,2021-04-11 03:07:46
109,Saint-Louis,SN,16.3333,-15.0,78.62,30,49,11.88,scattered clouds,2021-04-11 03:12:04
110,San Rafael,AR,-34.6177,-68.3301,51.28,75,1,8.46,clear sky,2021-04-11 03:12:05
111,Safranbolu,TR,41.2508,32.6942,34.88,96,100,3.04,light snow,2021-04-11 03:10:09
112,Portland,US,45.5234,-122.6762,46.99,49,20,12.66,few clouds,2021-04-11 03:09:17
113,Isla Vista,US,34.4133,-119.861,63.0,67,1,5.75,clear sky,2021-04-11 03:08:51
114,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,1,12.66,clear sky,2021-04-11 03:12:06
115,Barrow,US,71.2906,-156.7887,-7.6,71,1,10.36,clear sky,2021-04-11 03:09:27
116,Georgetown,MY,5.4112,100.3354,87.8,83,20,3.44,few clouds,2021-04-11 03:10:08
117,Luhyny,UA,51.082,28.4006,37.72,70,9,6.44,clear sky,2021-04-11 03:10:12
118,Srednekolymsk,RU,67.45,153.6833,1.0,81,100,10.54,overcast clouds,2021-04-11 03:12:06
119,Kousseri,CM,12.0769,15.0306,80.6,10,0,9.22,clear sky,2021-04-11 03:12:07
120,Qasigiannguit,GL,68.8193,-51.1922,19.4,86,90,8.05,overcast clouds,2021-04-11 03:12:07
121,Waipawa,NZ,-41.4122,175.5153,69.8,64,20,19.57,few clouds,2021-04-11 03:12:08
122,Punta Arenas,CL,-53.15,-70.9167,46.4,71,20,23.02,few clouds,2021-04-11 03:12:08
123,Porto Tolle,IT,44.9497,12.3245,51.01,96,100,9.64,moderate rain,2021-04-11 03:12:08
124,Macas,EC,-2.3167,-78.1167,67.32,97,100,2.15,light rain,2021-04-11 03:12:09
125,Grand Island,US,40.925,-98.342,48.2,49,1,4.61,clear sky,2021-04-11 03:11:58
126,Katy,US,29.7858,-95.8244,68.0,51,20,5.75,few clouds,2021-04-11 03:12:09
127,Hamilton,US,39.1834,-84.5333,60.01,77,40,12.66,scattered clouds,2021-04-11 03:08:23
128,Cabo San Lucas,MX,22.8909,-109.9124,80.6,28,40,12.44,scattered clouds,2021-04-11 03:12:10
129,Magistralnyy,RU,56.1725,107.4458,21.47,58,86,7.31,overcast clouds,2021-04-11 03:12:10
130,Vila Velha,BR,-20.3297,-40.2925,73.99,88,0,4.61,clear sky,2021-04-11 03:12:10
131,Magadan,RU,59.5667,150.8,19.47,58,100,11.18,overcast clouds,2021-04-11 03:12:11
132,Sipe Sipe,BO,-17.45,-66.3833,60.01,72,100,2.26,overcast clouds,2021-04-11 03:12:11
133,Vila,PT,42.0304,-8.1588,50.0,94,89,5.99,overcast clouds,2021-04-11 03:12:11
134,Lithgow,AU,-33.4833,150.15,48.0,95,6,1.01,clear sky,2021-04-11 03:12:12
135,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,0,5.75,clear sky,2021-04-11 03:12:12
136,Faya,SA,18.3851,42.4509,62.6,23,0,9.22,clear sky,2021-04-11 03:12:12
137,Liling,CN,27.6667,113.5,57.2,100,75,4.47,mist,2021-04-11 03:12:13
138,Chapais,CA,49.7834,-74.8492,50.0,50,90,9.22,overcast clouds,2021-04-11 03:12:13
139,Lagoa,PT,39.05,-27.9833,59.88,95,100,19.84,overcast clouds,2021-04-11 03:12:14
140,Lata,PT,40.1629,-8.3327,57.0,97,83,1.54,broken clouds,2021-04-11 03:12:14
141,Hilo,US,19.7297,-155.09,75.2,53,90,6.91,overcast clouds,2021-04-11 03:09:35
142,Bacabal,BR,-4.2917,-44.7917,73.49,93,100,4.07,light rain,2021-04-11 03:12:15
143,Chardara,KZ,41.2547,67.9692,49.89,42,0,14.81,clear sky,2021-04-11 03:12:15
144,Pingliang,CN,35.5392,106.6861,46.99,87,100,2.66,overcast clouds,2021-04-11 03:12:15
145,Sobolevo,RU,54.4299,31.8996,36.84,81,14,7.99,few clouds,2021-04-11 03:07:24
146,Tatawin,TN,32.9297,10.4518,57.2,77,98,3.44,overcast clouds,2021-04-11 03:12:16
147,Kizukuri,JP,40.8061,140.3861,55.99,46,20,5.75,few clouds,2021-04-11 03:12:16
148,Grand-Santi,GF,4.25,-54.3833,73.31,98,100,1.41,heavy intensity rain,2021-04-11 03:12:17
149,Norman Wells,CA,65.282,-126.8329,-5.8,77,90,12.66,light snow,2021-04-11 03:08:07
150,Matamoros,MX,25.5333,-103.25,87.8,7,1,5.91,clear sky,2021-04-11 03:12:17
151,Nanortalik,GL,60.1432,-45.2371,34.52,87,8,10.2,clear sky,2021-04-11 03:12:18
152,Robertsport,LR,6.7533,-11.3686,79.93,88,100,6.6,light rain,2021-04-11 03:12:18
153,Colfontaine,BE,50.4141,3.8557,39.99,93,90,12.66,light rain,2021-04-11 03:12:18
154,Malindi,KE,-3.2175,40.1191,78.04,86,100,8.68,light rain,2021-04-11 03:12:04
155,Pevek,RU,69.7008,170.3133,-7.91,89,73,2.33,broken clouds,2021-04-11 03:09:30
156,Pandan,PH,14.0453,124.1694,82.85,68,28,10.54,scattered clouds,2021-04-11 03:08:55
157,Malabo,GQ,3.75,8.7833,80.6,89,20,6.91,few clouds,2021-04-11 03:12:19
158,La Ronge,CA,55.1001,-105.2842,32.0,100,100,6.91,light snow,2021-04-11 03:12:20
159,Taoudenni,ML,22.6783,-3.9836,80.19,16,0,10.29,clear sky,2021-04-11 03:12:20
160,Pangoa,PE,-12.1167,-73.0,67.46,99,100,1.83,moderate rain,2021-04-11 03:12:20
161,Sisimiut,GL,66.9395,-53.6735,25.63,84,98,7.63,overcast clouds,2021-04-11 03:12:21
162,Shu,KZ,43.5983,73.7614,51.13,64,64,6.53,broken clouds,2021-04-11 03:12:21
163,Ahipara,NZ,-35.1667,173.1667,72.73,64,0,5.14,clear sky,2021-04-11 03:12:22
164,Mumford,GH,5.2618,-0.759,79.77,87,36,8.52,scattered clouds,2021-04-11 03:12:22
165,Adrar,MR,20.5022,-10.0711,73.36,24,0,12.37,clear sky,2021-04-11 03:12:22
166,Dingle,PH,10.9995,122.6711,87.15,59,73,11.56,broken clouds,2021-04-11 03:12:23
167,Kangaatsiaq,GL,68.3065,-53.4641,22.84,85,100,10.09,overcast clouds,2021-04-11 03:12:23
168,Gagino,RU,55.2314,45.0339,33.48,99,100,5.26,overcast clouds,2021-04-11 03:12:23
169,Port Keats,AU,-14.25,129.55,90.73,53,83,6.82,broken clouds,2021-04-11 03:11:07
170,Vestmannaeyjar,IS,63.4427,-20.2734,38.3,92,100,12.91,overcast clouds,2021-04-11 03:12:24
171,Pochutla,MX,15.7432,-96.4661,79.0,77,41,3.0,scattered clouds,2021-04-11 03:12:24
172,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,8.05,broken clouds,2021-04-11 03:12:25
173,Vostok,RU,46.4856,135.8833,53.35,33,88,10.67,overcast clouds,2021-04-11 03:12:25
174,Souillac,MU,-20.5167,57.5167,77.0,83,40,9.22,scattered clouds,2021-04-11 03:12:26
175,Ilulissat,GL,69.2167,-51.1,19.4,86,90,8.05,overcast clouds,2021-04-11 03:08:23
176,Jalu,LY,29.0331,21.5482,52.41,42,52,11.01,broken clouds,2021-04-11 03:12:26
177,Cape Coast,GH,5.1053,-1.2466,79.66,87,31,7.09,scattered clouds,2021-04-11 03:12:26
178,Labuhan,ID,-6.8844,112.2051,81.88,78,64,4.92,broken clouds,2021-04-11 03:12:27
179,Sitka,US,57.0531,-135.33,35.6,64,90,4.61,overcast clouds,2021-04-11 03:12:27
180,Sao Filipe,CV,14.8961,-24.4956,75.11,62,3,7.14,clear sky,2021-04-11 03:12:27
181,Chimbote,PE,-9.0853,-78.5783,68.63,88,100,7.38,overcast clouds,2021-04-11 03:12:28
182,Bambous Virieux,MU,-20.3428,57.7575,79.0,83,40,9.22,scattered clouds,2021-04-11 03:12:29
183,Kirovskiy,RU,45.0917,133.5136,60.85,32,60,10.98,light rain,2021-04-11 03:12:29
184,Hervey Bay,AU,-25.2986,152.8535,87.8,42,68,8.05,broken clouds,2021-04-11 03:10:21
185,Dali,CN,25.7,100.1833,70.18,38,19,7.63,few clouds,2021-04-11 03:12:29
186,Bardstown,US,37.8092,-85.4669,57.2,58,1,6.91,clear sky,2021-04-11 03:09:46
187,Kazerun,IR,29.6195,51.6541,73.78,19,100,4.94,overcast clouds,2021-04-11 03:12:30
188,Baie-Comeau,CA,49.2168,-68.1489,30.2,74,1,5.75,clear sky,2021-04-11 03:12:31
189,Bajil,YE,15.0584,43.2851,75.85,76,9,1.72,clear sky,2021-04-11 03:12:31
190,Turukhansk,RU,65.8167,87.9833,32.7,97,100,10.92,overcast clouds,2021-04-11 03:12:31
